scheme_code,instrument,isin,weight,report_date
100356,HDFC Bank Ltd,INE040A01034,0.072,2025-12-31
100356,Reliance Industries Ltd,INE002A01018,0.068,2025-12-31
100356,ICICI Bank Ltd,INE090A01021,0.06,2025-12-31
100356,Infosys Ltd,INE009A01021,0.055,2025-12-31
100356,Tata Consultancy Services Ltd,INE467B01029,0.048,2025-12-31
100356,State Bank of India,INE062A01020,0.042,2025-12-31
100356,Larsen & Toubro Ltd,INE018A01030,0.038,2025-12-31
100356,Bharti Airtel Ltd,INE397D01024,0.035,2025-12-31
100356,ITC Ltd,INE154A01025,0.032,2025-12-31
100356,Sun Pharmaceutical Industries Ltd,INE044A01036,0.028,2025-12-31
100356,Maruti Suzuki India Ltd,INE585B01010,0.025,2025-12-31
100356,Hindustan Unilever Ltd,INE030A01027,0.022,2025-12-31
100356,NTPC Ltd,INE733E01010,0.02,2025-12-31
100356,Power Grid Corporation of India Ltd,INE752E01010,0.018,2025-12-31
100356,GOI 7.26% 2033,IN0020220073,0.085,2025-12-31
100356,SBI 7.49% 2028 NCD,INE062A08314,0.065,2025-12-31
100356,HDFC Bank 7.35% 2027 NCD,INE040A08310,0.055,2025-12-31
100356,NABARD 7.40% 2029,INE261F08270,0.045,2025-12-31
